mote_id,time_window,PDR,control_msg_rate,parent_change_rate,rank_change_rate,label
1,38,0.9804,12,0,1,0
1,39,0.9792,12,0,1,0
1,40,0.9796,12,0,1,0
1,41,0.98,12,0,1,0
1,42,0.9804,12,0,1,0
1,43,0.9808,12,0,1,0
1,44,0.9796,12,0,1,0
1,45,0.98,11,0,1,0
1,46,0.9804,13,0,1,0
1,47,0.9807,11,0,1,0
1,48,0.9776,12,0,1,0
1,49,0.978,12,0,1,0
1,50,0.9787,12,0,1,0
1,51,0.979,12,0,1,0
1,52,0.9794,12,0,1,0
1,53,0.9781,12,0,1,0
1,54,0.9785,12,0,1,0
1,55,0.9776,12,0,1,0
1,56,0.9779,12,0,1,0
1,57,0.9783,12,0,1,0
1,58,0.9786,12,0,1,0
1,59,0.9792,13,0,1,0
1,60,0.9795,12,0,1,0
1,61,0.9797,11,0,1,0
1,62,0.98,12,0,1,0
1,63,0.9803,12,0,1,0
1,64,0.9805,12,0,1,0
1,65,0.981,12,0,1,0
1,66,0.9812,12,0,1,0
1,67,0.9815,12,0,1,0
1,68,0.9817,12,0,1,0
1,69,0.9819,12,0,1,0
1,70,0.9824,13,0,1,0
1,71,0.9826,12,0,1,0
1,72,0.9828,11,0,1,0
1,73,0.983,12,0,1,0
1,74,0.9831,12,0,1,0
1,75,0.9835,13,0,1,0
1,76,0.9837,12,0,1,0
1,77,0.9839,11,0,1,0
1,78,0.984,12,0,1,0
1,79,0.9842,12,0,1,0
1,80,0.9845,12,0,1,0
1,81,0.9847,12,0,1,0
1,82,0.9838,12,0,1,0
1,83,0.984,12,0,1,0
1,84,0.9842,12,0,1,0
1,85,0.9845,12,0,1,0
1,86,0.9846,12,0,1,0
1,87,0.9848,12,0,1,0
1,88,0.9849,12,0,1,0
1,89,0.9841,12,0,1,0
1,90,0.9843,9,0,1,0
2,38,0.9935,11,0,1,0
2,39,0.9917,12,0,1,0
2,40,0.9918,12,0,1,0
2,41,0.992,13,0,1,0
2,42,0.9922,12,0,1,0
2,43,0.9923,12,0,1,0
2,44,0.9926,12,0,1,0
2,45,0.9927,12,0,1,0
2,46,0.9929,12,0,1,0
2,47,0.993,12,0,1,0
2,48,0.9931,12,0,1,0
2,49,0.9933,12,0,1,0
2,50,0.9934,12,0,1,0
2,51,0.9935,12,0,1,0
2,52,0.9937,12,0,1,0
2,53,0.9938,12,0,1,0
2,54,0.9939,12,0,1,0
2,55,0.994,11,0,1,0
2,56,0.9941,12,0,1,0
2,57,0.9942,12,0,1,0
2,58,0.9943,11,0,1,0
2,59,0.9944,12,0,1,0
2,60,0.9945,12,0,1,0
2,61,0.9946,12,0,1,0
2,62,0.9933,12,0,1,0
2,63,0.9934,12,0,1,0
2,64,0.9936,13,0,1,0
2,65,0.9937,12,0,1,0
2,66,0.9938,12,0,1,0
2,67,0.9938,12,0,1,0
2,68,0.9939,12,0,1,0
2,69,0.9929,12,0,1,0
2,70,0.9929,11,0,1,0
2,71,0.993,12,0,1,0
2,72,0.9931,12,0,1,0
2,73,0.9932,12,0,1,0
2,74,0.9933,12,0,1,0
2,75,0.9934,12,0,1,0
2,76,0.9935,12,0,1,0
2,77,0.9935,12,0,1,0
2,78,0.9936,12,0,1,0
2,79,0.9937,12,0,1,0
2,80,0.9938,12,0,1,0
2,81,0.9939,12,0,1,0
2,82,0.9939,12,0,1,0
2,83,0.994,12,0,1,0
2,84,0.9941,12,0,1,0
2,85,0.9942,12,0,1,0
2,86,0.9942,13,0,1,0
2,87,0.9943,12,0,1,0
2,88,0.9943,12,0,1,0
2,89,0.9944,12,0,1,0
2,90,1.0,9,0,1,0
3,38,0.9957,11,0,1,0
3,39,0.9957,12,0,1,0
3,40,0.9958,13,0,1,0
3,41,0.996,11,0,1,0
3,42,0.9961,12,0,1,0
3,43,0.9962,12,0,1,0
3,44,0.9962,12,0,1,0
3,45,0.9963,12,0,1,0
3,46,0.9946,12,0,1,0
3,47,0.9947,12,0,1,0
3,48,0.9948,12,0,1,0
3,49,0.9949,12,0,1,0
3,50,0.995,12,0,1,0
3,51,0.9952,12,0,1,0
3,52,0.9952,12,0,1,0
3,53,0.9953,12,0,1,0
3,54,0.9954,12,0,1,0
3,55,0.9955,11,0,1,0
3,56,0.9955,12,0,1,0
3,57,0.9957,12,0,1,0
3,58,0.9957,13,0,1,0
3,59,0.9958,12,0,1,0
3,60,0.9958,12,0,1,0
3,61,0.9959,12,0,1,0
3,62,0.996,12,0,1,0
3,63,0.9961,11,0,1,0
3,64,0.9961,13,0,1,0
3,65,0.9962,12,0,1,0
3,66,0.9962,12,0,1,0
3,67,0.9963,12,0,1,0
3,68,0.9963,12,0,1,0
3,69,0.9964,12,0,1,0
3,70,0.9964,12,0,1,0
3,71,0.9965,12,0,1,0
3,72,0.9966,12,0,1,0
3,73,0.9966,13,0,1,0
3,74,0.9966,11,0,1,0
3,75,0.9967,12,0,1,0
3,76,0.9967,13,0,1,0
3,77,0.9968,12,0,1,0
3,78,0.9968,12,0,1,0
3,79,0.9968,12,0,1,0
3,80,0.9969,12,0,1,0
3,81,0.9969,12,0,1,0
3,82,0.997,12,0,1,0
3,83,0.997,12,0,1,0
3,84,0.997,12,0,1,0
3,85,0.9961,12,0,1,0
3,86,0.9962,12,0,1,0
3,87,0.9962,11,0,1,0
3,88,0.9962,12,0,1,0
3,89,0.9963,13,0,1,0
3,90,0.9963,9,0,1,0
4,38,1.0,0,11,0,0
4,39,1.0,0,12,0,0
4,40,1.0,0,12,0,0
4,41,1.0,0,12,0,0
4,42,1.0,0,12,0,0
4,43,1.0,0,12,0,0
4,44,1.0,0,12,0,0
4,45,1.0,0,12,0,0
4,46,1.0,0,12,0,0
4,47,1.0,0,12,0,0
4,48,1.0,0,12,0,0
4,49,1.0,0,12,0,0
4,50,1.0,0,12,0,0
4,51,1.0,0,12,0,0
4,52,1.0,0,12,0,0
4,53,1.0,0,12,0,0
4,54,1.0,0,12,0,0
4,55,1.0,0,12,0,0
4,56,1.0,0,12,0,0
4,57,1.0,0,12,0,0
4,58,1.0,0,12,0,0
4,59,1.0,0,12,0,0
